params,loci
m3_M2_n1,44019
m3_M2_n2,44696
m3_M2_n3,46078
m3_M3_n2,44646
m3_M3_n3,45120
m3_M3_n4,46073
m3_M4_n3,44846
m3_M4_n4,45109
m3_M4_n5,45741
m3_M5_n4,44683
m3_M5_n5,44847
m3_M5_n6,45183
