params,loci
m3_M2_n1,23155
m3_M2_n2,23372
m3_M2_n3,23951
m3_M3_n2,23365
m3_M3_n3,23478
m3_M3_n4,24036
m3_M4_n3,23464
m3_M4_n4,23543
m3_M4_n5,23989
m3_M5_n4,23492
m3_M5_n5,23559
m3_M5_n6,23885
