params,loci
m3_M2_n1,72783
m3_M2_n2,73094
m3_M2_n3,73011
m3_M3_n2,71435
m3_M3_n3,71450
m3_M3_n4,71319
m3_M4_n3,69896
m3_M4_n4,69820
m3_M4_n5,69613
m3_M5_n4,68430
m3_M5_n5,68365
m3_M5_n6,68109
